plant_id,common_name,problem,possible_cause,confidence_score,recommended_action_1,recommended_action_2,recommended_action_3,emergency_action,"recovery_action
",expected_recovery_days,expert_notes
5,Aglaonema,Leaves fading from vibrant variegation to plain green,Insufficient light (very likely),0.9,Move plant to a brighter location with more indirect light — aim for 1000-3000 lux,Avoid direct harsh sunlight which causes bleaching,Once moved to better light new leaves will emerge with restored variegation,If plant was in very low light for a long time — increase light gradually over 1-2 weeks to avoid shock,Maintain consistent bright indirect light; new growth will show restored color within 4-8 weeks; old faded leaves will not regain color,28-56,
5,Aglaonema,Leaves yellowing with soft mushy stem,Overwatering / root rot (very likely),0.9,Remove from pot and inspect roots immediately,Trim all rotten brown/black roots with sterile scissors, keep only firm white/cream roots,Repot in fresh well-draining potting mix with good drainage holes,Keep in bright indirect light; do not water for 7 days after repotting; resume light watering only when top inch of soil is dry,14-30,
6,Syngonium,Leaves reverting from pink/cream variegation to plain green,Insufficient light (very likely),0.88,Move plant to a brighter location with more indirect light — 1000-3000 lux ideal,Avoid harsh direct sunlight which will scorch the leaves,New growth will emerge with restored pink/cream color in adequate light,If plant is in very low light area — increase light gradually to prevent shock,Maintain consistent bright indirect light; new leaves will restore variegation within 3-6 weeks,21-45,
6,Syngonium,Yellowing leaves and mushy stem,Overwatering / root rot (very likely),0.9,Remove from pot and inspect roots immediately,Trim all rotten roots, keep only firm healthy white/cream roots,Repot in fresh well-draining potting mix with drainage holes,Keep in bright indirect light; withhold water for 7 days after repotting,14-28,
7,Rose,Black circular spots with yellow halo on leaves (black spot disease),Diplocarpon rosae fungal infection (very likely),0.95,Remove and destroy all affected leaves immediately — do not compost as spores survive,Apply copper-based fungicide or sulfur fungicide spray to entire plant including undersides of remaining leaves,Avoid overhead watering — water at base of plant only in the morning,If more than 60% of leaves are affected — cut plant back to healthy wood,Apply fungicide spray every 7-10 days for 6 weeks; remove fallen leaves from around base immediately; increase air circulation,21-45,
7,Rose,No flowers / very few flowers,Insufficient sunlight / over-pruning / excess nitrogen fertilizer / heat stress,0.8,Ensure plant receives minimum 6 hours of direct sunlight daily,Switch from high-nitrogen fertilizer to phosphorus-potassium rich fertilizer (bloom booster),Prune dead spent flower heads (deadheading) to encourage new flowering cycles,If plant has no buds at all and is in good sun — check for root problems and apply phosphorus-rich fertilizer immediately,After adjusting light and fertilizer allow 4-6 weeks for new growth cycle to produce buds and flowers,30-60,
8,Hibiscus,Flower buds dropping before opening,Underwatering / extreme heat / sudden temperature change / spider mites,0.82,Check soil moisture — water thoroughly if dry, hibiscus needs consistent moisture in summer,Check leaf undersides for spider mites (fine webbing / bronze stippling) and treat with neem oil if found,Provide afternoon shade during peak summer heat above 38°C,Once watering and temperature are corrected new buds will set within 2-3 weeks; apply potassium-rich fertilizer to support flowering,14-28,
8,Hibiscus,Yellowing leaves with fine webbing on undersides,Spider mite infestation (very likely — especially in hot dry weather),0.9,Spray entire plant (including leaf undersides) with neem oil solution (5ml neem + 2ml dish soap in 1 litre water),Repeat neem oil spray every 5-7 days for 3-4 applications,Increase humidity around plant to deter further mite activity,If infestation is severe (webbing covering multiple branches) — cut back affected branches by 50% before applying neem oil spray,After eliminating mites apply balanced liquid fertilizer to support recovery; maintain regular neem oil preventive spray every 14-21 days,14-21,
9,Mogra,White powdery coating on leaves and stems (powdery mildew),Podosphaera/Oidium fungal infection — triggered by high humidity with poor airflow (very likely),0.92,Remove all heavily affected leaves and stems immediately,Apply sulfur-based fungicide or potassium bicarbonate spray to entire plant,Improve air circulation — prune crowded inner branches to open up the plant structure,If more than 50% of plant is covered — cut back entire plant to 15-20 cm from base,Apply fungicide every 7 days for 4-6 weeks; avoid overhead watering; water at base only in the morning,21-42,
9,Mogra,No flowers despite healthy green growth,Insufficient sunlight / excess nitrogen / needs pruning / wrong season,0.82,Ensure plant receives minimum 5-6 hours of direct morning sunlight daily,Switch from nitrogen-rich fertilizer to phosphorus-potassium fertilizer (bloom booster),Prune plant back by one-third after each flowering flush to encourage new growth and fresh buds,If plant has not flowered for more than 3 months in good sun — apply phosphorus-rich fertilizer and prune back by 30-40%,After pruning and fertilizer adjustment allow 3-5 weeks for new growth to mature and produce flower buds,21-45,
10,Croton,Sudden massive leaf drop (most or all leaves falling),Relocation shock / cold draft / root rot / sudden temperature change (most likely),0.88,Do not move plant again — keep in current location,Check soil moisture — if wet allow to dry completely, if bone dry water thoroughly once,Move plant away from AC vents / cold windows / drafts,Keep in stable warm location with bright indirect light; do not fertilize; maintain very light watering until new growth appears,30-60,
10,Croton,Leaves fading from vibrant multicolor to dull green,Insufficient light (very likely),0.92,Move plant to a location with more direct bright light — Croton needs the most sun of all foliage plants on this list,Outdoors in morning direct sun (2-3 hours) is ideal if temperature permits,Avoid harsh midday sun which can scorch leaves,If moving from very low light to bright light — acclimatize gradually over 1-2 weeks,Once in adequate light new leaves will emerge with restored vibrant color within 4-8 weeks; old faded leaves will not restore color,28-56,
11,Curry Leaf,Plant suddenly dropped all leaves but stem is still green,Cold dormancy (below 8°C) / severe underwatering / transplant shock (most likely),0.85,Do not discard plant — check if stem is still firm and green by gently scratching with fingernail,Move plant to warmest available spot with maximum sunlight,Water lightly once — do not overwater as leafless plant has very low water demand,If temperature has dropped below 8°C — wrap pot in cloth or newspaper for insulation and bring indoors to warmest room,Keep in warm bright spot; water very lightly (once every 10-14 days); new growth will begin as temperature rises and season changes,30-60,
11,Curry Leaf,New leaves curling distorted with sticky residue,Citrus psyllid infestation (Diaphorina citri — very likely),0.9,Spray entire plant with neem oil solution (5ml neem + 2ml dish soap per litre water) focusing on new growth and leaf undersides,Remove and destroy all badly distorted new growth,Repeat neem oil spray every 5-7 days for 4-5 applications,If infestation is severe — cut back all affected new growth to healthy wood before applying neem oil spray,After eliminating psyllids apply nitrogen-rich fertilizer to support fresh healthy new growth; maintain preventive neem oil spray every 14 days,21-35,
12,Tulsi,White powdery coating on leaves and stems (powdery mildew),Erysiphe fungal infection — triggered by high humidity with poor airflow (very likely),0.9,Remove all affected leaves and stems immediately,Apply sulfur-based fungicide or neem oil spray to entire plant,Move plant to a location with better airflow and morning sunlight,If more than 40% of plant is affected — cut plant back to 10 cm from base,Apply neem oil or sulfur spray every 7 days for 3-4 weeks; pinch flower heads regularly to prevent bolting which weakens the plant,14-21,
12,Tulsi,Plant flowering (bolting) too early and leaves reducing in size,Heat stress / drought stress / natural end-of-life cycle (very likely),0.8,Pinch off all flower spikes immediately to redirect energy to leaf production,Water more consistently — Tulsi in flower mode is triggered partly by water stress,Ensure plant is in full sun with good air circulation,If plant is old (more than 1 year) and woody at base — take cuttings or collect seeds and start fresh new plant,After removing flower spikes maintain consistent watering and feeding with nitrogen-rich fertilizer to restore leaf production; young vigorous cuttings will replace the old plant,10-21,
13,Aloe Vera,Leaves turning soft mushy and translucent,Overwatering / root rot (very likely — most critical Aloe problem),0.95,Remove from pot immediately and inspect roots and stem base,Trim all rotten brown/black soft roots, leave only firm white roots if any remain,Allow the plant and roots to air dry for 24-48 hours before repotting,Repot in very gritty dry cactus/succulent mix; do not water for 14 days after repotting; then water very sparingly,21-60,
13,Aloe Vera,Leaves turning reddish-brown or orange starting from tips,Sunburn / heat scorch (very likely),0.85,Move plant to a location with bright indirect light or morning sun only,Avoid harsh direct afternoon sun especially during summer months above 35°C,Do not water more than usual — sunburn does not mean the plant needs water,If more than 50% of leaves are burnt — move to full shade temporarily for 1 week then gradually re-introduce to bright indirect light,Allow burnt leaves to remain on plant as they protect inner leaves; once new healthy growth emerges from center the outer burnt leaves can be trimmed,21-30,
